tweet,label
You should be ashamed of yourself.,Personal Attacks
"You did an amazing job, keep it up!",Positive Sentiment
You're so worthless. No one wants you around.,Cyberbullying
I'll make sure you regret ever crossing me.,Harassment
You're so worthless. No one wants you around.,Cyberbullying
I'll make sure you regret ever crossing me.,Harassment
"It is what it is, nothing more to say.",Neutral Sentiment
Just finished reading a great book.,Other
You don't belong here; go back to where you came from.,Hate Speech
I can't believe how dumb you are. Get a life!,Cyberbullying
"You did an amazing job, keep it up!",Positive Sentiment
People like you are ruining this country.,Hate Speech
"Today has been terrible, nothing went right.",Negative Sentiment
"Today has been terrible, nothing went right.",Negative Sentiment
You don't belong here; go back to where you came from.,Hate Speech
I'll make sure you regret ever crossing me.,Harassment
I'll make sure you regret ever crossing me.,Harassment
"You're a failure, and everyone knows it.",Personal Attacks
You don't belong here; go back to where you came from.,Hate Speech
"It is what it is, nothing more to say.",Neutral Sentiment
Does anyone know what time the meeting is?,Other
This is the best day ever! I'm so grateful.,Positive Sentiment
"You're such a loser, always messing things up.",Offensive Language
This is the best day ever! I'm so grateful.,Positive Sentiment
I'll make sure you regret ever crossing me.,Harassment
"You're a failure, and everyone knows it.",Personal Attacks
"You're such a loser, always messing things up.",Offensive Language
I can't believe how dumb you are. Get a life!,Cyberbullying
"It is what it is, nothing more to say.",Neutral Sentiment
"I feel like giving up, everything is so hard.",Negative Sentiment
"Just another day at work, nothing special.",Neutral Sentiment
You better watch your back from now on.,Harassment
Just finished reading a great book.,Other
You should be ashamed of yourself.,Personal Attacks
"Today has been terrible, nothing went right.",Negative Sentiment
I can't believe how dumb you are. Get a life!,Cyberbullying
"Today has been terrible, nothing went right.",Negative Sentiment
"You did an amazing job, keep it up!",Positive Sentiment
You better watch your back from now on.,Harassment
You should be ashamed of yourself.,Personal Attacks
Does anyone know what time the meeting is?,Other
"You're a failure, and everyone knows it.",Personal Attacks
I can't believe how dumb you are. Get a life!,Cyberbullying
You're so worthless. No one wants you around.,Cyberbullying
I'll make sure you regret ever crossing me.,Harassment
"You're such a loser, always messing things up.",Offensive Language
"You're such a loser, always messing things up.",Offensive Language
"You did an amazing job, keep it up!",Positive Sentiment
"Just another day at work, nothing special.",Neutral Sentiment
I can't believe how dumb you are. Get a life!,Cyberbullying
"Today has been terrible, nothing went right.",Negative Sentiment
You're so worthless. No one wants you around.,Cyberbullying
"Today has been terrible, nothing went right.",Negative Sentiment
You don't belong here; go back to where you came from.,Hate Speech
You should be ashamed of yourself.,Personal Attacks
"I feel like giving up, everything is so hard.",Negative Sentiment
Just finished reading a great book.,Other
"You're a failure, and everyone knows it.",Personal Attacks
"Just another day at work, nothing special.",Neutral Sentiment
"Today has been terrible, nothing went right.",Negative Sentiment
I'll make sure you regret ever crossing me.,Harassment
Your stupidity knows no bounds.,Offensive Language
I can't believe how dumb you are. Get a life!,Cyberbullying
